gsl_word,gsl_head
simply,simple
loves,love
loved,love
lovable,love
lover,love
loving,love
lovingly,love
humans,human
appears,appear
appeared,appear
appearing,appear
doctors,doctor
believes,believe
believed,believe
believing,believe
speaks,speak
speaker,speak
actively,active
students,student
months,month
monthly,month
drives,drive
drove,drive
driven,drive
concerns,concern
concerned,concern
concerning,concern
doors,door
hopes,hope
hoped,hope
hopeful,hope
hopeless,hope
examples,example
informs,inform
informed,inform
informing,inform
information,inform
bodies,body
bodily,body
bodyguard,body
probably,probable
probability,probable
understands,understand
understood,understand
understanding,understand
reaches,reach
reached,reach
reaching,reach
effects,effect
differently,different
ideas,idea
wholly,whole
controls,control
controlled,control
controlling,control
conditions,condition
fields,field
passes,pass
passed,pass
passing,pass
falls,fall
fell,fall
fallen,fall
notes,note
noted,note
notepaper,note
specially,special
talked,talk
talking,talk
talks,talk
particularly,particular
measures,measure
measured,measure
measuring,measure
measurement,measure
measurements,measure
walks,walk
walked,walk
walking,walk
teaches,teach
taught,teach
teaching,teach
teachings,teach
teacher,teach
lower,low
lowland,low
hours,hour
hourly,hour
types,type
typed,type
typing,type
typewriter,type
typewrite,type
typist,type
carries,carry
carrying,carry
carried,carry
rates,rate
remains,remain
remained,remain
remaining,remain
streets,street
easily,easy
records,record
recorded,record
recording,record
sits,sit
sat,sit
sitting,sit
determines,determine
determining,determine
determined,determine
determination,determine
levels,level
locally,local
surely,sure
receives,receive
received,receive
receiving,receive
receiver,receive
moments,moment
spirits,spirit
trains,train
trained,train
training,train
colleges,college
religions,religion
religious,religion
musical,music
musicals,music
grows,grow
growing,grow
grown,grow
frees,free
freed,free
freeing,free
freely,free
causes,cause
caused,cause
causing,cause
serves,serve
served,serve
serving,serve
ages,age
books,book
boards,board
recently,recent
sounds,sound
offices,office
cuts,cut
cutting,cut
steps,step
truly,TRUE
positions,position
strongly,strong
friends,friend
necessarily,necessary
unnecessary,necessary
adds,add
adding,add
added,add
courts,court
courtyard,court
deals,deal
dealt,deal
dealer,deal
dealing,deal
dealings,deal
taxes,tax
taxed,tax
taxing,tax
supports,support
supporting,support
supported,support
parties,party
lands,land
landed,land
landing,land
materials,material
happens,happen
happened,happen
happening,happen
educational,education
deaths,death
deathbed,death
agrees,agree
agreed,agree
agreeing,agree
agreement,agree
arms,arm
armour,arm
unarmed,arm
mothers,mother
towns,town
views,view
societies,society
manages,manage
managed,manage
managing,manage
management,manage
manager,manage
answers,answer
answering,answer
answered,answer
breaks,break
broke,break
breaking,break
breakage,break
organises,organise
organising,organise
organised,organise
organisation,organise
organizes,organise
organized,organise
organizing,organise
organization,organise
halve,half
fires,fire
firing,fire
loses,lose
losing,lose
lost,lose
stops,stop
stopped,stop
stopping,stop
stoppage,stop
stopper,stop
actually,actual
waits,wait
waited,wait
waiting,wait
departments,department
politically,political
learns,learn
learned,learn
learning,learn
voices,voice
covers,cover
covered,cover
covering,cover
commonly,common
uncommon,common
commonsense,common
subjects,subject
draws,draw
shortly,short
shortness,short
wives,wife
treats,treat
treated,treat
treating,treat
limits,limit
limitation,limit
roads,road
roadside,road
letters,letter
colours,colour
colouring,colour
color,colour
colors,colour
coloring,colour
produces,produce
produced,produce
producing,produce
sends,send
sent,send
sending,send
terms,term
totals,total
totally,total
universities,university
rises,rise
rose,rise
risen,rise
rising,rise
centuries,century
successes,success
minutes,minute
remembers,remember
remembered,remember
remembering,remember
purposes,purpose
testing,test
tests,test
tested,test
fights,fight
fighter,fight
watches,watch
watched,watch
watching,watch
watchful,watch
watchfulness,watch
situations,situation
southeast,south
southeastern,south
southern,south
southward,south
southwest,south
southwestern,south
differences,difference
stages,stage
fathers,father
tables,table
rests,rest
rested,rest
resting,rest
bears,bear
bearing,bear
entirely,entire
markets,market
prepares,prepare
prepared,prepare
preparing,prepare
preparation,prepare
explains,explain
explained,explain
explaining,explain
explanation,explain
offers,offer
offering,offer
offered,offer
plants,plant
planter,plant
charges,charge
charged,charge
charging,charge
grounds,ground
groundwork,ground
pictures,picture
hardness,hard
lies,lie
lied,lie
lying,lie
modernise,modern
darkness,dark
surfaces,surface
ruled,rule
rules,rule
ruling,rule
regards,regard
regarded,regard
regarding,regard
regardless,regard
dances,dance
danced,dance
dancing,dance
peaceful,peace
observes,observe
observed,observe
observing,observe
walls,wall
farms,farm
claims,claim
claimed,claim
claiming,claim
firmly,firm
firmness,firm
operations,operation
pressures,pressure
pressured,pressure
pressuring,pressure
mornings,morning
pieces,piece
beautiful,beauty
beautifully,beauty
trades,trade
trading,trade
trader,trade
tradesman,trade
fears,fear
feared,fear
fearful,fear
fearless,fear
demands,demand
demanded,demand
demanding,demand
wonders,wonder
wondered,wonder
wondering,wonder
wonderful,wonder
wonderfully,wonder
lists,list
accepts,accept
accepted,accept
accepting,accept
judges,judge
judgment,judge
paints,paint
painted,paint
painter,paint
painters,paint
miles,mile
mileage,mile
milestone,mile
sooner,soon
responsibility,responsible
allows,allow
allowed,allow
allowing,allow
secretaries,secretary
hearts,heart
unions,union
slowly,slow
slowness,slow
islands,island
enters,enter
entered,enter
entering,enter
drinks,drink
drunk,drink
drank,drink
drinking,drink
stories,story
experiments,experiment
experimental,experiment
experimentally,experiment
stays,stay
stayed,stay
staying,stay
spaced,space
spacing,space
spaces,space
applies,apply
applied,apply
applying,apply
decides,decide
deciding,decide
decided,decide
decidedly,decide
shares,share
shared,share
sharing,share
desires,desire
desiring,desire
desired,desire
spends,spend
spent,spend
spending,spend
signs,sign
variously,various
visits,visit
visiting,visit
supplies,supply
supplying,supply
supplied,supply
officers,officer
doubts,doubt
doubted,doubt
doubting,doubt
doubtful,doubt
doubtless,doubt
immediately,immediate
wishes,wish
wished,wish
wishing,wish
contains,contain
contained,contain
containing,contain
container,contain
feeds,feed
fed,feed
feeding,feed
raises,raise
raised,raise
raising,raise
described,describe
describes,describe
describing,describe
horses,horse
horseback,horse
horseman,horse
horseshoe,horse
sons,son
exists,exist
existed,exist
existing,exist
northeast,north
northwest,north
northwards,north
suggests,suggest
suggested,suggest
suggesting,suggest
stations,station
effectively,effective
deeply,deep
characters,character
happily,happy
critics,critic
critical,critic
units,unit
products,product
respects,respect
respected,respect
respecting,respect
respectful,respect
drops,drop
dropped,drop
dropping,drop
fills,fill
filled,fill
filling,fill
coldly,cold
coldness,cold
represents,represent
represented,represent
representing,represent
suddenly,sudden
kills,kill
killed,kill
killing,kill
finely,fine
fineness,fine
troubles,trouble
troubled,trouble
troublesome,trouble
marks,mark
marked,mark
marking,mark
singly,single
heavily,heavy
attempts,attempt
original,origin
originality,origin
originally,origin
standards,standard
standardise,standard
committees,committee
immoral,moral
immorality,moral
morality,moral
morally,moral
badly,bad
badness,bad
earthly,earth
earthworm,earth
earthy,earth
merely,mere
dies,die
died,die
dying,die
remarks,remark
remarked,remark
remarking,remark
excepting,except
equally,equal
equality,equal
eventful,event
uneventful,event
employs,employ
employing,employ
employed,employ
unemployed,employ
employer,employ
employers,employ
employment,employ
defense,defence
smiles,smile
smiled,smile
smiling,smile
rivers,river
improves,improve
improved,improve
improving,improve
improvement,improve
improvements,improve
games,game
details,detail
detailed,detail
accounts,account
accounted,account
accounting,account
cents,cent
reduces,reduce
reduced,reduce
reducing,reduce
clubs,club
buys,buy
buying,buy
bought,buy
ships,ship
shipbuilding,ship
shipment,ship
shipper,ship
shipwreck,ship
decisions,decision
wears,wear
wore,wear
worn,wear
wins,win
won,win
winning,win
rides,ride
riding,ride
rode,ride
operates,operate
operated,operate
operating,operate
realises,realise
realised,realise
realising,realise
realisation,realise
realize,realise
realizes,realise
realized,realise
realizing,realise
realization,realise
sales,sale
chooses,choose
chose,choose
chosen,choose
choosing,choose
parks,park
votes,vote
voted,vote
voting,vote
voter,vote
prices,price
districts,district
foreigner,foreign
windows,window
directions,direction
strikes,strike
struck,strike
striking,strike
trials,trial
practise,practice
practises,practice
practised,practice
practising,practice
catches,catch
opportunities,opportunity
unlikely,likely
recognises,recognise
recognised,recognise
recognising,recognise
recognize,recognise
recognizing,recognise
recognized,recognise
permits,permit
permitted,permit
permitting,permit
seriously,serious
attacks,attack
floors,floor
associations,association
springs,spring
sprang,spring
sprung,spring
stocks,stock
lacks,lack
lacked,lack
lacking,lack
sciences,science
relations,relation
professions,profession
professional,profession
patterns,pattern
quickly,quick
quickness,quick
medicals,medical
medically,medical
influences,influence
influenced,influence
influencing,influence
occasions,occasion
occasional,occasion
occasionally,occasion
machines,machine
compares,compare
compared,compare
comparing,compare
unfair,fair
fairly,fair
unfairly,fair
especial,especially
imagines,imagine
imagined,imagine
imagining,imagine
imagination,imagine
surprises,surprise
surprising,surprise
surprisingly,surprise
officials,official
officially,official
sings,sing
sang,sing
sung,sing
singer,sing
singers,sing
hits,hit
trees,tree
races,race
policeman,police
touches,touch
touched,touch
touching,touch
relatives,relative
throws,throw
thrown,throw
threw,throw
throwing,throw
qualities,quality
formerly,former
pulls,pull
pulled,pull
pulling,pull
chances,chance
proves,prove
proved,prove
proving,prove
argues,argue
argued,argue
arguing,argue
argument,argue
arguments,argue
settled,settle
settles,settle
settling,settle
settlement,settle
settler,settle
growths,growth
dates,date
heating,heat
saves,save
saving,save
saved,save
performances,performance
counts,count
counting,count
counted,count
listened,listen
listens,listen
listening,listen
listener,listen
mainly,main
mainland,main
picked,pick
picks,pick
picking,pick
peck,pick
sizes,size
coolly,cool
coolness,cool
armies,army
patients,patient
patiently,patient
combines,combine
combining,combine
combined,combine
combination,combine
halls,hall
slightly,slight
commands,command
enjoys,enjoy
enjoyed,enjoy
enjoying,enjoy
enjoyable,enjoy
enjoyment,enjoy
properly,proper
improper,proper
improperly,proper
expresses,express
expressed,express
expressing,express
healthy,health
chiefly,chief
stores,store
stored,store
storing,store
languages,language
degrees,degree
lays,lay
laid,lay
currents,current
guns,gun
gunboat,gun
gunner,gun
gunpowder,gun
dogs,dog
hotels,hotel
strangely,strange
strangeness,strange
stranger,strange
separately,separate
boats,boat
fails,fail
failed,fail
failing,fail
cleanly,clean
cleanness,clean
dresses,dress
gains,gain
gained,gain
gaining,gain
pains,pain
painful,pain
painfully,pain
objects,object
objected,object
objecting,object
depends,depend
depended,depend
depending,depend
dependant,depend
relates,relate
related,relate
relating,relate
dollars,dollar
advanced,advance
shapes,shape
shaped,shape
shaping,shape
shapeless,shape
arranges,arrange
arranged,arrange
arranging,arrange
arrangement,arrange
arrangements,arrange
sells,sell
sold,sell
selling,sell
seller,sell
mentioned,mention
mentions,mention
mentioning,mention
dryly,dry
dryness,dry
checks,check
checked,check
checking,check
poets,poet
poetry,poet
poetic,poet
sleeps,sleep
slept,sleep
sleeping,sleep
sleepless,sleep
sleepiness,sleep
joins,join
joined,join
hotly,hot
beds,bed
bedding,bed
electricity,electric
dreams,dream
dreamy,dream
seasons,season
manners,manner
fits,fit
fitting,fit
fitness,fit
progresses,progress
progressed,progress
notices,notice
noticed,notice
noticing,notice
noticeable,notice
finishes,finish
finished,finish
finishing,finish
opinions,opinion
bills,bill
westerns,western
truthful,truth
truthfulness,truth
wrongly,wrong
travels,travel
travelled,travel
travelling,travel
suits,suit
suited,suit
banks,bank
exactly,exact
honourable,honour
dishonour,honour
dishonourable,honour
brothers,brother
quieten,quiet
quietly,quiet
quietness,quiet
marries,marry
marrying,marry
married,marry
corners,corner
handles,handle
dangerous,danger
hospitals,hospital
pools,pool
promised,promise
shot,shoot
shoots,shoot
shooting,shoot
scenes,scene
arrived,arrive
arrives,arrive
arriving,arrive
arrival,arrive
films,film
bases,base
based,base
basing,base
bars,bar
hangs,hang
hanged,hang
hung,hang
hanging,hang
suffers,suffer
suffering,suffer
sufferer,suffer
manufactures,manufacture
rocks,rock
rocked,rock
rocking,rock
losses,loss
burns,burn
burned,burn
burnt,burn
burning,burn
suns,sun
sunbeam,sun
sunburnt,sun
sunlight,sun
sunny,sun
sunrise,sun
sunset,sun
sunshine,sun
audiences,audience
essentially,essential
glasses,glass
glassy,glass
prevents,prevent
preventing,prevent
preventive,prevent
poems,poem
inches,inch
songs,song
skills,skill
skilled,skill
skilful,skill
skilfully,skill
postage,post
postal,post
postman,post
postmaster,post
popularly,popular
popularity,popular
radios,radio
animals,animal
consciousness,conscious
unconscious,conscious
unconsciously,conscious
unconsciousness,conscious
worthless,worth
worthwhile,worth
eats,eat
ate,eat
eaten,eat
eating,eat
elections,election
electorate,election
faiths,faith
faithful,faith
faithfully,faith
waves,wave
waved,wave
waving,wave
wavy,wave
models,model
forgets,forget
forgot,forget
forgetting,forget
forgotten,forget
forgetful,forget
forgetfulness,forget
extends,extend
extended,extend
extending,extend
distances,distance
memorial,memory
memorise,memory
recommends,recommend
recommended,recommend
recommending,recommend
recommendation,recommend
divisions,division
legs,leg
discussions,discussion
addresses,address
flies,fly
flew,fly
flying,fly
dependents,dependent
balls,ball
shakes,shake
shaken,shake
shaking,shake
frames,frame
extremes,extreme
extremely,extreme
engineers,engineer
engineering,engineer
thickly,thick
thickness,thick
comforting,comfort
comfortable,comfort
uncomfortable,comfort
camps,camp
camped,camp
camping,camp
oily,oil
discovers,discover
discovering,discover
discovered,discover
discoverer,discover
examines,examine
examined,examine
examining,examine
examination,examine
examinations,examine
difficulties,difficulty
teeth,tooth
choices,choice
referring,refer
referred,refer
refers,refer
enemies,enemy
practically,practical
marriages,marriage
bridges,bridge
declares,declare
declared,declare
declaring,declare
declaration,declare
ladies,lady
crosses,cross
crossing,cross
crossings,cross
afternoons,afternoon
attends,attend
attended,attend
attending,attend
directors,director
balances,balance
balancing,balance
balanced,balance
washes,wash
washed,wash
washing,wash
capitals,capital
blocks,block
citizens,citizen
mouths,mouth
mouthful,mouth
hills,hill
hillside,hill
hilly,hill
pleases,please
pleased,please
pleasing,please
motors,motor
agencies,agency
encourages,encourage
encouraged,encourage
encouraging,encourage
encouragement,encourage
governors,governor
worrying,worry
worries,worry
worried,worry
affairs,affair
shoulders,shoulder
samples,sample
prettily,pretty
prettiness,pretty
repeats,repeat
repeated,repeat
repeating,repeat
rolls,roll
rolled,roll
rolling,roll
roller,roll
pushed,push
pushing,push
pushes,push
trips,trip
councils,council
clothes,clothe
clothing,clothe
parents,parent
parental,parent
forwards,forward
sharply,sharp
gases,gas
weights,weight
discusses,discuss
discussed,discuss
discussing,discuss
fixes,fix
fixed,fix
fixing,fix
masters,master
mastered,master
mastering,master
masterful,master
masterly,master
masterpiece,master
mastery,master
roundabout,round
rapidly,rapid
rapidity,rapid
laughs,laugh
laughed,laugh
laughing,laugh
laughable,laugh
fingers,finger
spots,spot
spotted,spot
spotless,spot
proposes,propose
proposed,propose
proposing,propose
shops,shop
shopkeeper,shop
shopkeeping,shop
replaces,replace
replaced,replace
replacing,replace
irreplaceable,replace
replies,reply
replied,reply
replying,reply
extents,extent
locks,lock
locked,lock
locking,lock
unlock,lock
employees,employee
spreads,spread
spreading,spread
winds,wind
winding,wind
approves,approve
approved,approve
approving,approve
approval,approve
destroys,destroy
destroyed,destroy
destroying,destroy
pounds,pound
famous,fame
reflects,reflect
reflecting,reflect
reflected,reflect
advantages,advantage
matches,match
regularly,regular
regularity,regular
irregular,regular
irregularly,regular
irregularity,regular
wages,wage
refuses,refuse
refused,refuse
refusing,refuse
refusal,refuse
performs,perform
performed,perform
performing,perform
performer,perform
performers,perform
titles,title
tends,tend
tended,tend
tending,tend
tendency,tend
exercises,exercise
exercised,exercise
thinly,thin
thinness,thin
coats,coat
overcoat,coat
mountains,mountain
mount,mountain
mountainous,mountain
youths,youth
youthful,youth
newspapers,newspaper
secrets,secret
seas,sea
seaman,sea
seaport,sea
softness,soft
softly,soft
reasonableness,reasonable
reasonably,reasonable
circles,circle
solidly,solid
pages,page
weapons,weapon
representatives,representative
searches,search
searched,search
searching,search
purely,pure
purity,pure
impure,pure
impurity,pure
escapes,escape
escaped,escape
escaping,escape
crowds,crowd
sticks,stick
sticky,stick
telephones,telephone
avoids,avoid
avoided,avoid
avoiding,avoid
unavoidable,avoid
unavoidably,avoid
gardens,garden
gardener,garden
favor,favour
favourable,favour
favourably,favour
dinners,dinner
signals,signal
yards,yard
warmly,warm
misses,miss
missed,miss
missing,miss
soldiers,soldier
articles,article
cries,cry
cried,cry
crying,cry
captains,captain
seats,seat
guests,guest
weakness,weak
excites,excite
excited,excite
exciting,excite
excitement,excite
kings,king
wines,wine
holes,hole
beats,beat
beating,beat
perfectly,perfect
imperfect,perfect
imperfectly,perfect
bottoms,bottom
composes,compose
composed,compose
composing,compose
composer,compose
battles,battle
expenses,expense
flows,flow
flowing,flow
flowed,flow
kitchens,kitchen
duster,dust
dusty,dust
bottles,bottle
admits,admit
admitted,admit
admitting,admit
tears,tear
tore,tear
torn,tear
tearing,tear
tires,tire
tiring,tire
tired,tire
expressions,expression
exceptions,exception
applications,application
belongs,belong
belonged,belong
belonging,belong
riches,rich
failures,failure
struggles,struggle
instruments,instrument
instrumental,instrument
narrowly,narrow
theatres,theatre
theater,theatre
theaters,theatre
collections,collection
rains,rain
rained,rain
raining,rain
rainy,rain
reviews,review
reviewed,review
reviewing,review
preserves,preserve
preserved,preserve
preserving,preserve
preservation,preserve
daughters,daughter
fellows,fellow
swings,swing
swung,swing
swinging,swing
thanks,thank
thankful,thank
libraries,library
fatness,fat
fatty,fat
reserves,reserve
reserved,reserve
reserving,reserve
tours,tour
tourist,tour
nicely,nice
warns,warn
warned,warn
warning,warn
ringed,ring
bitterness,bitter
chairs,chair
scientifically,scientific
flowers,flower
wheels,wheel
solutions,solution
aims,aim
aimed,aim
aiming,aim
aimless,aim
gathers,gather
gathered,gather
gathering,gather
invited,invite
invites,invite
inviting,invite
invitation,invite
forests,forest
winters,winter
wintry,winter
boxes,box
beliefs,belief
ordinarily,ordinary
impossibility,impossible
prints,print
printed,print
printing,print
printer,print
gray,grey
tastes,taste
tasted,taste
tasting,taste
tasteless,taste
lips,lip
speeches,speech
references,reference
referenced,reference
referencing,reference
stains,stain
connections,connection
connexion,connection
connexions,connection
stretches,stretch
stretched,stretch
stretching,stretch
knives,knife
villages,village
blows,blow
blowing,blow
blew,blow
mistakes,mistake
unmistakably,mistake
sweetly,sweet
shouts,shout
shouted,shout
shouting,shout
divides,divide
divided,divide
dividing,divide
guards,guard
worsen,worse
exchanges,exchange
exchanged,exchange
exchanging,exchange
rarely,rare
requests,request
appoints,appoint
appointing,appoint
appointed,appoint
appointment,appoint
appointments,appoint
agents,agent
birds,bird
wildly,wild
guesses,guess
guessing,guess
guessed,guess
neighbours,neighbour
neighbouring,neighbour
seeds,seed
fashionable,fashion
loans,loan
corrects,correct
corrected,correct
correcting,correct
correctly,correct
incorrect,correct
plainly,plain
retires,retire
retired,retire
retiring,retire
retirement,retire
opposites,opposite
prefers,prefer
preferred,prefer
preferring,prefer
preferable,prefer
preferably,prefer
woods,wood
wooded,wood
babies,baby
advises,advise
advised,advise
advising,advise
contented,content
sports,sport
sporting,sport
sportsman,sport
lifts,lift
curiously,curious
curiosity,curious
ties,tie
tied,tie
tying,tie
messages,message
necks,neck
necklace,neck
necktie,neck
hates,hate
hated,hate
hating,hate
hateful,hate
dirty,dirt
delightful,delight
delightfully,delight
trusts,trust
trusted,trust
trusting,trust
entrust,trust
trustee,trust
valleys,valley
tools,tool
cooks,cook
cooked,cook
cooking,cook
cookery,cook
railroads,railroad
ministers,minister
brushes,brush
collects,collect
collected,collect
collecting,collect
guides,guide
unlucky,luck
unluckily,luck
lords,lord
prisons,prison
prisoner,prison
imprison,prison
clouds,cloud
cloudy,cloud
slaves,slave
chairperson,chairman
chairwoman,chairman
distinguishes,distinguish
distinguishing,distinguish
distinguished,distinguish
introduces,introduce
introduced,introduce
introducing,introduce
urges,urge
urged,urge
urging,urge
blinds,blind
blinded,blind
blinding,blind
arises,arise
arose,arise
arising,arise
curves,curve
curving,curve
curved,curve
keys,key
entertains,entertain
entertained,entertain
entertaining,entertain
entertainment,entertain
souls,soul
neighbourhoods,neighbourhood
pairs,pair
stones,stone
leans,lean
leaned,lean
leant,lean
leaning,lean
protects,protect
protected,protect
protecting,protect
advertises,advertise
advertised,advertise
advertising,advertise
advertisement,advertise
mysterious,mystery
welcomes,welcome
welcomed,welcome
welcoming,welcome
knees,knee
jumps,jump
jumped,jump
jumping,jump
snakes,snake
streams,stream
avenues,avenue
diseases,disease
diseased,disease
hats,hat
excellently,excellent
formally,formal
formality,formal
snowy,snow
sheets,sheet
skies,sky
roughly,rough
roughness,rough
smoothly,smooth
smoothness,smooth
steadily,steady
threatens,threaten
threatening,threaten
threatened,threaten
opposes,oppose
opposed,oppose
opposing,oppose
delivers,deliver
delivering,deliver
delivered,deliver
prays,pray
prayed,pray
praying,pray
prayer,pray
adopts,adopt
adopted,adopt
adopting,adopt
appearances,appearance
busily,busy
hurries,hurry
hurried,hurry
hurrying,hurry
coasts,coast
smells,smell
smelled,smell
smelling,smell
furnishes,furnish
furnished,furnish
furnishing,furnish
females,female
hides,hide
hid,hide
hiding,hide
wireless,wire
proposals,proposal
victories,victory
victorious,victory
quarters,quarter
engines,engine
wastes,waste
wasted,waste
wasting,waste
wasteful,waste
wastefulness,waste
fools,fool
foolish,fool
foolishness,fool
intends,intend
intended,intend
intending,intend
intentional,intention
intentionally,intention
intentions,intention
desks,desk
passages,passage
lawyers,lawyer
roots,root
climbed,climb
climbs,climb
climbing,climb
metals,metal
gradually,gradual
hunts,hunt
hunting,hunt
hunted,hunt
hunter,hunt
hunters,hunt
satisfies,satisfy
satisfied,satisfy
satisfying,satisfy
roofs,roof
branches,branch
displeasure,pleasure
witnesses,witness
loosely,loose
noses,nose
mines,mine
miner,mine
bands,band
risks,risk
risked,risk
risking,risk
risky,risk
reminds,remind
reminding,remind
reminded,remind
ears,ear
fisherman,fish
shores,shore
operators,operator
civilization,civilize
silently,silent
screens,screen
screened,screen
screening,screen
binds,bind
binding,bind
earns,earn
earned,earn
earning,earn
earnings,earn
packs,pack
packed,pack
packing,pack
packet,pack
colonies,colony
colonist,colony
colonise,colony
colonised,colony
colonial,colony
slips,slip
slipped,slip
slipping,slip
cousins,cousin
scales,scale
explores,explore
explored,explore
exploring,explore
stems,stem
brains,brain
musicians,musician
defends,defend
defended,defend
defending,defend
bends,bend
bending,bend
bent,bend
shadows,shadow
shadowy,shadow
mixes,mix
mixed,mix
mixing,mix
smokes,smoke
smoked,smoke
smoker,smoke
smoky,smoke
descriptions,description
guilty,guilt
guiltless,guilt
yields,yield
yielding,yield
paleness,pale
sweeps,sweep
swept,sweep
sweeping,sweep
completions,completion
throats,throat
agricultural,agriculture
