English,Spanish,French,Haitian Creole,Portuguese
alternative,alternativa,alternative,altènatif,alternativa
ambiguity,ambigüedad,ambiguïté,anbigwite,ambiguidade
ambiguous,ambiguo,ambiguë,anbigwi,ambíguo
ambition,ambición,ambition,lanbisyon,ambição
ambitious,ambicioso,ambitieux,anbisye,ambicioso
amend,enmendar,xxx,amande,xxx
amount,xxx,montant,amande,xxx
amplitude,amplitud,amplitude,anplitid,amplitude
amuse,xxx,amuser,amize,xxx
anaconda,anaconda,anaconda,anakonda,anaconda
analogy,analogía,analogie,analoji,analogia
analyse,analizar,analyser,analize,analisar
analysis,análisis,analyse,analiz,análise
analyze,analizar,analyser,analize,analisar
ancient,xxx,ancien,ansyen,ancestral
angle,ángulo,angle,ansyen,ângulo
animal,animal,animal,ansyen,animal
animate,animar,animer,anime,animar
announce,anunciar,annoncer,anonse,anunciar
annoy,xxx,ennuyer,anonse,xxx
annual,anual,annuel,anyèl,anual
anomaly,anomalía,anomalie,anomali,anomalia
answer,xxx,xxx,anomali,responder
antecedent,antecedente,antécédent,antecedent,antecedente
anticipate,anticipar,anticiper,antisipe,antecipar
anxiety,ansiedad,anxiété,antisipe,ansiedade
anxious,ansioso,anxieux,antisipe,ansioso
anything,xxx,xxx,anyen,xxx
apart,aparte,à part,anyen,separado
apparent,aparente,apparent,aparan,aparente
appear,aparecer,apparaître,parèt,aparecer
appearance,xxx,apparence,aparans,aparência
append,xxx,xxx,append,xxx
appetite,apetito,appétit,apeti,apetite
applaud,aplaudir,applaudir,apeti,aplaudir
applause,aplausos,xxx,apeti,aplausos
applicability,aplicabilidad,applicabilité,aplikabilite,aplicabilidade
application,xxx,application,aplikasyon,aplicativo
apply,aplicar,appliquer,aplike,aplicar
appreciate,agradecer,apprécier,apresye,apreciar
approach,xxx,approche,aproche,xxx
appropriate,adecuado,approprié,apwopriye,apropriado
approve,xxx,approuver,apwouve,aprovar
approximate,aproximado,approximatif,apwoksimatif,aproximado
arbitrary,arbitrario,arbitraire,abitrè,arbitrário
archaism,arcaísmo,archaïsme,archaism,arcaísmo
archetype,arquetipo,archétype,arketip,arquétipo
area,área,xxx,arketip,área
argument,argumento,argument,agiman,argumento
arithmetic,aritmética,arithmétique,aritmetik,aritmética
around,alrededor,xxx,aritmetik,xxx
arrange,xxx,organiser,aritmetik,arranjo
arrest,xxx,arrêter,arete,xxx
arrive,xxx,arriver,arete,xxx
arrogance,arrogancia,arrogance,awogans,arrogância
article,artículo,article,atik,artigo
articulation,articulación,articulation,atikilasyon,articulação
artificial,artificial,artificiel,atifisyèl,artificial
artist,artista,artiste,atis,artista
artistic,artístico,artistique,atistik,artístico
aspect,aspecto,aspect,aspè,aspecto
aspiration,aspiración,aspiration,aspirasyon,aspiração
aspirin,aspirina,aspirine,aspirin,aspirina
assemble,armar,assembler,rasanble,xxx
assign,asignar,attribuer,rasanble,atribuir
assimilation,asimilación,assimilation,asimilasyon,assimilação
assist,asistir,assister,asimilasyon,assistir
associate,asociado,associé,asosye,associado
association,asociación,association,asosyasyon,associação
assume,asumir,xxx,asime,assumir
assure,asegurar,assurer,asire,assegurar
astonish,xxx,xxx,etone,xxx
astronaut,astronauta,astronaute,astronot,astronauta
astronomer,astrónomo,astronome,astwonòm,astrônomo
atlas,atlas,atlas,atlas,atlas
atmosphere,atmósfera,atmosphère,atmosfè,atmosfera
attach,xxx,attacher,tache,xxx
attack,xxx,attaque,tache,xxx
attain,xxx,atteindre,tache,atingir
attention,atención,attention,atansyon,atenção
attentive,atento,attentif,atantif,atento
attitude,actitud,attitude,atitid,atitude
attract,atraer,xxx,atire,atrair
attraction,atracción,xxx,atraksyon,atração
attractive,atractivo,attractif,atraksyon,atraente
attribute,atributo,attribut,atribi,atributo
audience,audiencia,xxx,atribi,xxx
author,autor,auteur,otè,autor
authority,autoridad,autorité,otorite,autoridade
authorize,autorizar,autoriser,otorize,autorizar
autograph,autógrafo,autographe,otograf,autógrafo
automate,automatizar,automatiser,otomatize,automatizar
automatic,automático,automatique,otomatik,automático
automobile,automóvil,automobile,otomobil,automóvel
autumn,xxx,automne,otomobil,xxx
avenue,avenida,xxx,otomobil,avenida
axiom,axioma,axiome,aksyòm,axioma
backward,hacia atrás,xxx,aksyòm,xxx
baggage,xxx,bagages,bagaj,bagagem
balance,balance,xxx,balans,xxx
banana,banana,banane,bannann,banana
banjo,banjo,banjo,banjo,banjo
banquet,banquete,banquet,bankè,banquete
barber,barbero,xxx,bankè,barbeiro
barrel,barril,baril,barik,barril
barrier,barrera,barrière,baryè,barreira
base,base,base,baz,base
basic,básico,basique,baz,básico
basin,xxx,bassin,basen,bacia
bathe,bañarse,baigner,basen,xxx
battery,batería,batterie,batri,bateria
battle,batalla,bataille,batay,batalha
beast,bestia,xxx,batay,besta
beauty,xxx,beauté,batay,xxx
benefactive,benéfico,bienfaisant,byenfektif,benéfico
benefit,beneficio,xxx,benefisye,beneficiar
bicycle,bicicleta,xxx,bisiklèt,bicicleta
bilingual,bilingüe,bilingue,bileng,bilíngue
biography,biografía,biographie,biyografi,biografia
blame,xxx,blâmer,blame,xxx
block,bloquear,xxx,blame,bloquear
blouse,blusa,blouse,blame,blusa
bonus,xxx,xxx,bonis,bônus
border,borde,xxx,bonis,fronteira
bottle,botella,bouteille,boutèy,xxx
bouquet,xxx,bouquet,bouquet,xxx
branch,xxx,xxx,branch,xxx
bravery,xxx,bravoure,branch,bravura
brick,xxx,brique,branch,xxx
brief,breve,bref,brief,xxx
bright,brillante,brillant,brief,brilhante
brilliant,brillante,brillant,briyan,brilhante
brush,xxx,brosse,briyan,xxx
brutal,brutal,brutal,brital,brutal
bucket,xxx,xxx,bokit,xxx
business,xxx,xxx,biznis,xxx
businessman,xxx,xxx,biznisman,xxx
button,botón,bouton,bouton,botão
cabin,cabina,cabine,kabin,cabine
cable,cable,câble,kab,cabo
cafeteria,cafetería,cafétéria,kafeterya,cafeteria
cage,xxx,cage,kafeterya,xxx
calculate,calcular,calculer,kalkile,calcular
calculator,calculadora,calculatrice,kalkilatris,calculadora
camera,cámara,caméra,kamera,câmera
camouflage,camuflaje,camouflage,kamouflaj,camuflar
canal,canal,canal,kanal,canal
candid,xxx,candide,kanal,xxx
canyon,cañón,canyon,canyon,xxx
capable,capaz,capable,kapab,capaz
capacity,capacidad,capacité,kapasite,capacidade
capital,capital,capital,kapital,capital
captain,capitán,capitaine,kapital,capitão
captive,cautivo,captif,kapital,cativo
capture,captura,capturer,kaptire,capturar
carriage,carro,xxx,kaptire,xxx
carry,xxx,xxx,kaptire,carregar
case,caso,cas,kaptire,caso
castle,castillo,xxx,kaptire,castelo
catastrophe,catástrofe,catastrophe,katastwòf,catástrofe
category,categoría,catégorie,kategori,categoria
cause,causa,cause,koz,causa
caution,precaución,xxx,koz,xxx
cautious,xxx,xxx,koz,cauteloso
cease,cesar,cesser,koz,cessar
celebrate,celebrar,célébrer,selebre,xxx
cement,cemento,ciment,siman,cimento
center,centro,centre,sant,centro
centre,centro,centre,sant,centro
ceramic,cerámico,céramique,seramik,cerâmica
cereal,cereal,céréale,sereyal,cereal
ceremony,ceremonia,cérémonie,seremoni,cerimônia
certain,cierto,certain,sèten,certo
certainty,certeza,xxx,sèten,certeza
chain,xxx,chaîne,sèten,xxx
chair,xxx,chaise,sèten,cadeira
champion,campeón,champion,chanpyon,campeão
chance,xxx,chance,chans,chance
change,xxx,xxx,chanje,xxx
channel,canal,canal,chanèl,canal
chapter,capítulo,chapitre,chapit,capítulo
character,xxx,xxx,karaktè,xxx
charge,cargar,charge,karaktè,xxx
charm,xxx,charme,karaktè,charme
chart,cuadro,xxx,karaktè,xxx
check,xxx,xxx,tcheke,xxx
chemical,químico,chimique,chimik,químico
chief,xxx,xxx,chimik,chefe
chimney,xxx,cheminée,chemine,chaminé
chimpanzee,chimpancé,chimpanzé,chenpanze,chimpanzé
choice,xxx,choix,chenpanze,xxx
cholera,cólera,choléra,kolera,cólera
choose,xxx,choisir,chwazi,xxx
circle,círculo,cercle,sèk,círculo
circular,circular,circulaire,sikilè,circular
circumstance,circunstancia,circonstance,sikonstans,circunstância
cite,citar,citer,site,citar
citizen,xxx,citoyen,sitwayen,xxx
civil,civil,civil,sivil,civil
civilize,civilizar,civiliser,sivilize,civilizar
claim,xxx,réclamer,sivilize,xxx
clarify,aclarar,clarifier,klarifye,esclarecer
class,clase,classe,klas,xxx
classic,clásico,classique,klasik,clássico
classification,clasificación,classification,klasifikasyon,classificação
classify,clasificar,classer,klasifye,classificar
clause,cláusula,clause,kloz,cláusula
clear,claro,clair,kloz,claro
coast,costa,côte,kòt,costa
code,código,code,kòd,código
codex,códice,xxx,kodèks,códice
cognate,cognado,xxx,kodèks,cognato
coherence,coherencia,cohérence,koyerans,coerência
coherent,coherente,cohérent,koyeran,coerente
coincide,coincidir,coïncider,kowenside,coincidir
collapse,colapsar,xxx,kollapse,colapso
collar,xxx,collier,kollapse,colarinho
colleague,colega,collègue,kòlèg,colega
collect,recolectar,collecter,kòlèg,xxx
collection,recopilación,collection,koleksyon,coleção
collector,xxx,xxx,koleksyon,coletor
college,colega,collège,kolèj,xxx
colony,colonia,colonie,koloni,colônia
color,color,couleur,koulè,cor
colour,color,couleur,koulè,xxx
combination,combinación,combinaison,konbinezon,combinação
combine,combinar,combiner,konbine,combinar
comfort,xxx,confort,konbine,conforto
command,xxx,commande,konbine,comando
commence,comenzar,commencer,kòmanse,começar
comment,comentario,commentaire,kòmantè,comentário
commerce,comercio,commerce,komès,comércio
commercial,comercial,commercial,komèsyal,comercial
commission,comisión,commission,komisyon,comissão
commit,comprometerse,commettre,komèt,comprometer-se
committee,comité,comité,komite,comitê
commodity,xxx,xxx,komodite,xxx
common,común,commun,komen,comum
communicate,comunicar,communiquer,kominike,comunicar
communication,comunicación,communication,kominikasyon,comunicação
community,comunidad,communauté,kominote,comunidade
companion,compañero,compagnon,konpayon,companheiro
companionship,compañerismo,xxx,konpayon,xxx
company,compañía,xxx,konpayi,xxx
compare,comparar,comparer,konpare,comparar
comparison,comparación,comparaison,konparezon,comparação
compatible,compatible,compatible,konpatib,compatível
compensate,compensar,compenser,konpanse,compensar
compete,competir,xxx,konpanse,competir
competence,competencia,compétence,konpetans,competência
competition,competencia,xxx,konpetisyon,xxx
competitor,competidor,xxx,konpetisyon,xxx
compile,compilar,compiler,konpile,compilar
complain,xxx,se plaindre,konpile,xxx
complaint,xxx,plainte,konpile,xxx
complement,complementar,complément,konpleman,complemento
complete,completo,complet,konplè,completo
complex,complejo,complexe,konplèks,complexo
complicate,complicar,compliquer,konplike,complicar
complication,complicación,complication,konplikasyon,complicação
compliment,cumplido,compliment,konpliman,xxx
component,componente,composant,konponan,componente
comport,comportarse,se comporter,konpòte,comportamento
compose,componer,composer,konpoze,compor
composition,composición,composition,konpozisyon,composição
compound,compuesto,composé,konpoze,composto
comprehension,comprensión,compréhension,konpreyansyon,compreensão
comprehensive,xxx,xxx,comprehensive,xxx
comprise,comprender,comprendre,konpoze,compreende
compute,xxx,xxx,konpite,xxx
conceive,concebir,concevoir,konseye,conceber
concentrate,concentrarse,se concentrer,konsantre,concentrado
concentration,concentración,concentration,konsantrasyon,concentração
concept,concepto,concept,konsèp,conceito
concert,concierto,concert,konsè,concerto
conclude,concluir,conclure,konkli,concluir
conclusion,conclusión,conclusion,konklizyon,conclusão
concurrent,concurrente,concurrent,konkouran,concorrente
condition,condición,condition,kondisyon,xxx
conditional,condicional,conditionnel,kondisyonèl,condicional
conduct,conducta,conduire,konduit,conduta
confer,conferir,conférer,konfere,conferir
confess,confesar,confesser,konfese,confessar
confession,confesión,confession,konfesyon,confissão
confetti,confeti,confettis,konfetti,confete
confidence,confianza,confiance,konfyans,confiança
confident,xxx,confiant,konfyans,confiante
confidential,confidencial,confidentiel,konfidansyèl,confidencial
configuration,configuración,configuration,konfigirasyon,configuração
confine,confinar,confiner,konfine,xxx
confirm,confirmar,confirmer,konfime,confirmar
conflict,conflicto,conflit,konfli,conflito
conform,xxx,se conformer,konfòm,conformar-se
confuse,confundir,xxx,konfòm,confundir
confusing,confuso,xxx,konfizyon,confuso
confusion,confusión,confusion,konfizyon,confusão
congratulation,xxx,félicitation,konfizyon,xxx
conjugation,conjugación,conjugaison,konjigezon,conjugação
connect,conectar,connecter,konjigezon,conectar
connection,conexión,connexion,koneksyon,conexão
connector,conector,connecteur,konektè,conector
connotation,connotación,connotation,konotasyon,conotação
conquer,conquistar,conquérir,konotasyon,conquistar
conqueror,conquistador,conquérant,konkeran,conquistador
conquest,conquista,conquête,konkèt,conquista
conscience,conciencia,conscience,konsyans,consciência
conscious,consciente,conscient,konsyans,consciente
consent,consentir,consentement,konsantman,consentimento
consequent,consiguiente,conséquent,konsekan,conseqüente
consider,considerar,considérer,konsidere,considerar
considerable,considerable,considérable,konsiderab,considerável
consist,consistir,consister,konsiste,consiste
consonant,consonante,consonne,konsòn,consoante
constant,constante,constante,konstan,constante
constellation,constelación,constellation,konstelasyon,constelação
constituent,constituyente,constituant,konstitiyan,constituinte
constitute,constituir,constituer,konstitye,constituir
constrain,constreñir,contraindre,kontrent,xxx
construct,construir,construction,konstwi,construir
construction,construcción,construction,konstriksyon,construção
consult,consultar,consulter,konsilte,consultar
consume,consumir,consommer,konsome,consumir
contact,contacto,contact,kontakte,contato
contagious,contagioso,contagieux,kontakte,xxx
contain,contener,contenir,kontakte,conter
contemporary,contemporáneo,contemporain,kontanporen,contemporâneo
content,contenido,contenu,kontni,contente
context,contexto,contexte,kontèks,contexto
continent,continente,continent,kontinan,continente
continue,continuar,continuer,kontinye,continuar
contract,contrato,contracter,kontra,contrato
contradict,contradecir,contredire,kontredi,contradizer
contrary,contrario,contraire,kontrè,contrário
contrast,contraste,contraste,kontras,contraste
contribute,contribuir,contribuer,kontribye,contribuir
contribution,contribución,contribution,kontribisyon,contribuição
control,control,contrôle,kontwòl,controlar
controversy,controversia,controverse,kontwòl,controvérsia
convene,convocar,convoquer,konvoke,convocar
convenience,conveniencia,xxx,konvenyans,conveniência
convenient,conveniente,xxx,konvenyans,conveniente
convergence,convergencia,convergence,konvenyans,convergência
conversation,conversación,conversation,konvèsasyon,conversa
converse,conversar,converser,konvèse,conversar
convert,convertir,convertir,konvèti,converter
convince,convencer,convaincre,konvenk,convencer
cooperate,cooperar,coopérer,kopere,cooperar
coordinate,coordinar,coordonner,kowòdone,coordenada
coordination,coordinación,coordination,kowòdinasyon,coordenação
copie,Copiar,copie,kopi,cópia
copper,cobre,xxx,kopi,cobre
core,xxx,cœur,kopi,xxx
corporate,corporativo,corporation,corporate,corporativo
correct,correcto,correct,kòrèk,correto
correction,corrección,correction,koreksyon,correção
correctly,correctamente,correctement,kòrèkteman,corretamente
correlation,correlación,corrélation,korelasyon,correlação
correspond,corresponder,correspondre,koresponn,corresponder
cotton,xxx,coton,koton,xxx
council,xxx,conseil,koton,xxx
count,contar,compter,koton,contar
countable,contable,xxx,konte,contável
couple,xxx,couple,koup,xxx
courage,coraje,courage,kouraj,coragem
course,curso,cours,kouraj,curso
court,corte,xxx,kouraj,xxx
cousin,xxx,cousin,kouzen,xxx
cover,xxx,xxx,kouzen,cobrir
coward,cobarde,xxx,kouzen,covarde
cowardice,cobardía,xxx,kouzen,covardia
coyote,coyote,coyote,koyòt,coiote
cream,crema,crème,koyòt,creme
create,crear,créer,kreye,criar
creature,criatura,créature,kreye,criatura
credit,crédito,crédit,kredi,crédito
crime,xxx,crime,kredi,crime
criminal,criminal,criminel,kriminèl,criminal
criteria,criterios,critères,kritè,critérios
criterion,criterio,critère,kritè,critério
critic,crítico,critique,kritik,crítico
criticism,crítica,critique,kritik,crítica
crocodile,cocodrilo,crocodile,kwokodil,crocodilo
cross,xxx,croix,kwokodil,xxx
crown,corona,couronne,kwokodil,xxx
crucial,crucial,crucial,kwokodil,crucial
cruel,cruel,cruel,kwokodil,cruel
crush,xxx,écraser,kwokodil,crush
cultivate,cultivar,cultiver,kiltive,cultivar
cultivation,xxx,cultivation,kiltivasyon,xxx
cultivator,cultivador,cultivateur,kiltivatè,cultivador
culture,cultura,culture,kilti,cultura
curiosity,curiosidad,curiosité,kiryozite,curiosidade
curious,curioso,curieux,kirye,curioso
curtain,cortina,xxx,kirye,cortina
curve,curva,courbe,kirye,curva
cushion,xxx,coussin,kirye,xxx
custom,costumbre,coutume,kirye,xxx
customary,acostumbrado,xxx,kirye,xxx
cycle,ciclo,xxx,sik,ciclo
damage,xxx,dommage,domaj,xxx
dance,xxx,danse,danse,dança
danger,xxx,danger,danje,xxx
data,datos,données,done,dados
debate,debate,débat,deba,debate
decade,década,décennie,deseni,década
decide,decidir,décider,deside,decidir
decision,decisión,décision,desizyon,decisão
decisive,decisivo,décisif,desizif,decisivo
declare,declarar,déclarer,deklare,declarar
decline,xxx,déclin,dekline,declínio
decoration,decoración,décoration,dekorasyon,decoração
deduce,deducir,déduire,dedwi,deduzir
defeat,xxx,défaite,defèt,derrota
defence,defensa,défense,defans,defesa
defend,defender,défendre,defann,defender
defendant,xxx,défendeur,defann,xxx
define,definir,définir,defini,definir
definite,definido,xxx,definitif,definitivo
definition,definición,définition,definisyon,definição
degree,grado,degré,degre,grau
delicate,delicado,délicat,delika,delicado
delicious,delicioso,délicieux,delika,delicioso
delight,deleitar,xxx,delika,xxx
deliver,xxx,livrer,delivre,xxx
demand,demanda,demande,demann,demanda
dementia,demencia,démence,demans,demência
demonstrate,demostrar,démontrer,demontre,demonstrar
denotation,denotación,dénotation,denotasyon,denotação
denote,denotar,xxx,denote,denotar
dentist,dentista,dentiste,dantis,dentista
deny,denegar,xxx,dantis,xxx
department,departamento,département,depatman,departamento
depend,depender,dépendre,depann,depender
dependence,dependencia,dépendance,depandans,dependência
dependent,dependiente,dépendant,depandan,dependente
deport,deportar,xxx,depòte,deportar
depress,deprimir,déprimer,deprime,deprimir
derive,derivar,dériver,derive,derivar
descend,xxx,descendre,desann,descer
descendant,descendiente,descendant,desandan,descendente
descent,descenso,descente,desandans,descida
describe,describir,décrire,dekri,descrever
description,descripción,description,deskripsyon,descrição
desert,desierto,désert,dezè,deserto
design,diseño,xxx,design,xxx
desire,deseo,désir,design,desejo
despair,xxx,désespoir,design,desespero
despotism,despotismo,despotisme,despotism,despotismo
destination,destino,destination,destinasyon,destino
destroy,destruir,détruire,detwi,destruir
destruction,destrucción,destruction,destriksyon,destruição
destructive,destructivo,destructeur,destriktif,destrutivo
detail,detalle,détail,detay,detalhe
detain,detener,détenir,detay,deter
detect,detectar,détecter,detekte,detectar
determine,determinar,déterminer,detèmine,determinar
develop,xxx,développer,devlope,xxx
deviate,desviarse,dévier,devye,desviar
devil,demonio,xxx,devye,xxx
devote,xxx,xxx,devote,xxx
diagnostique,diagnóstico,diagnostique,dyagnostik,diagnóstico
dialect,dialecto,dialecte,dyalèk,dialeto
diamond,diamante,diamant,dyaman,diamante
dictator,dictador,dictateur,diktatè,ditador
dictionary,diccionario,dictionnaire,diksyonè,dicionário
difference,diferencia,différence,diferans,diferença
different,diferente,différent,diferan,diferente
differentiate,diferenciar,différencier,diferansye,diferenciar
difficult,difícil,difficile,difisil,difícil
difficultly,difícilmente,difficilement,difisil,dificilmente
difficulty,dificultad,difficulté,difikilte,dificuldade
dimension,dimensión,dimension,dimansyon,dimensão
diminish,disminuir,diminuer,diminye,diminuir
dinner,xxx,dîner,diminye,xxx
dinosaur,dinosaurio,dinosaure,dinozò,dinossauro
direct,directo,direct,dirèk,direto
direction,dirección,direction,direksyon,direção
directly,directamente,directement,dirèkteman,diretamente
director,director,directeur,direktè,diretor
disagree,discrepar,xxx,direktè,discordo
disappear,desaparecer,disparaître,disparèt,desaparecer
disapprove,desaprobar,désapprouver,dezapwouve,desaprovar
disaster,desastre,catastrophe,dezas,desastre
discipline,disciplina,discipline,disiplin,disciplina
discomfort,xxx,inconfort,disiplin,desconforto
discontent,descontento,xxx,disiplin,xxx
discontinue,discontinuar,xxx,disiplin,descontinuar
discourse,discurso,discours,diskou,discurso
discover,descubrir,découvrir,diskou,descobrir
discovery,xxx,découverte,diskou,descoberta
discrete,discreto,discret,disrè,discreto
discriminate,discriminar,discriminer,fè diskriminasyon,discriminar
discrimination,discriminación,discrimination,diskriminasyon,discriminação
discuss,discutir,discuter,diskite,discutir
discussion,discusión,discussion,diskisyon,discussão
disgrace,desgracia,disgrâce,diskisyon,desgraça
disgust,xxx,dégoût,diskisyon,xxx
displace,desplazar,déplacer,deplase,deslocar
display,xxx,xxx,display,xxx
dispose,disponer,disposer,dispose,descartar
disregard,xxx,disregard,dispose,xxx
disrespect,xxx,xxx,dispose,desrespeito
dissatisfaction,insatisfacción,insatisfaction,dispose,insatisfação
dissimilation,disimilación,dissimilation,disimilasyon,dissimilação
distance,distancia,distance,distans,distância
distant,distante,xxx,distans,distante
distinct,distinto,distinct,distinte,distinto
distinguish,distinguir,distinguer,distenge,distinguir
distort,distorsionar,xxx,distenge,distorcer
distribute,distribuir,distribuer,distribye,distribuir
distribution,distribución,distribution,distribisyon,distribuição
district,distrito,district,distri,distrito
disturb,xxx,xxx,distri,perturbar
diverse,diverso,divers,divès,diverso
divide,dividir,diviser,divize,dividir
division,división,division,divizyon,divisão
divorce,divorcio,divorce,divòs,divórcio
doctor,doctor,xxx,doktè,doutor
document,documento,document,dokiman,documento
dollar,dólar,dollar,dola,dólar
domain,dominio,domaine,domèn,domínio
domestic,doméstico,domestique,domestik,doméstico
dominance,dominio,dominance,dominasyon,domínio
dominate,dominar,dominer,domine,dominar
double,doble,double,doub,dobro
doubt,xxx,doute,doub,xxx
dozen,docena,douzaine,douzèn,xxx
dragon,dragón,dragon,dragon,dragão
drama,drama,drame,dram,drama
drive,xxx,conduire,dram,dirigir
durable,durable,durable,dirab,durável
duration,duración,durée,dire,duração
during,durante,xxx,dire,durante
dynamic,dinámica,dynamique,dinamik,dinâmico
dynamite,dinamita,dynamiter,dinamit,dinamite
economy,economía,économie,ekonomi,economia
edit,editar,xxx,edite,editar
edition,edición,edition,edisyon,edição
educate,educar,xxx,edike,educar
education,educación,éducation,edikasyon,educação
educator,educador,éducateur,edikatè,educador
effect,efecto,effet,efè,efeito
effective,eficaz,efficace,efikas,eficaz
efficiency,eficiencia,efficacité,efikas,eficiência
efficient,eficiente,efficace,efikas,eficiente
effort,esfuerzo,effort,efikas,esforço
egoist,egoísta,égoïste,egoyis,egoísta
elastic,elástico,élastique,elastik,elástico
elect,electo,xxx,elastik,eleger
election,elección,élection,eleksyon,eleição
electric,eléctrico,électrique,elektrik,elétrico
electrician,electricista,électricien,elektrisyen,eletricista
electricity,electricidad,électricité,elektrisite,eletricidade
element,elemento,élément,eleman,elemento
elephant,elefante,éléphant,elefan,elefante
eliminate,eliminar,éliminer,elimine,eliminar
emerge,xxx,émerger,elimine,emergir
emphasis,énfasis,xxx,anfaz,ênfase
empire,imperio,empire,anfaz,império
empirical,empírico,empirique,anpirik,empírico
employ,emplear,employer,anplwaye,empregar
employee,empleado,employé,anplwaye,xxx
enable,habilitar,xxx,anplwaye,xxx
enclosure,xxx,enceinte,anplwaye,xxx
encounter,encontrar,rencontre,rankont,encontro
encourage,xxx,encourager,ankouraje,encorajar
encouragement,xxx,encouragement,ankourajman,encorajamento
enemy,enemigo,ennemi,ankourajman,xxx
energy,energía,énergie,enèji,energia
engineer,ingeniero,ingénieur,enjenyè,engenheiro
english,inglés,anglais,angle,inglês
enormous,enorme,énorme,enorm,enorme
ensure,asegurar,assurer,asire,xxx
enter,entrar,entrer,antre,xxx
entertain,xxx,divertir,antre,entreter
entire,xxx,entier,antre,inteiro
entity,entidad,entité,antite,entidade
entrance,entrada,entrée,antre,entrada
envelope,xxx,enveloppe,anvlòp,envelope
environment,xxx,environnement,anviwònman,xxx
equal,igual,xxx,anviwònman,igual
equate,equiparar,xxx,egalize,igualar
equip,equipar,équiper,ekipe,equipar
equivalence,equivalencia,équivalence,ekivalans,equivalência
equivalent,equivalente,équivalent,ekivalan,equivalente
erode,erosionar,éroder,erode,erosão
error,error,erreur,erè,erro
escape,escapar,s'échapper,chape,escapar
